frame,t_s,dxA,dyA,peakA,dxB,dyB,peakB
568,9.4500,-9.94,6.27,126.1,0.01,0.01,125.9
569,9.4667,-10.09,6.37,127.4,0.01,0.02,122.5
570,9.4833,-9.66,6.13,124.0,0.02,-0.00,141.3
571,9.5000,-10.03,6.29,138.1,0.00,-0.00,133.9
572,9.5167,-9.89,6.25,135.1,-0.00,-0.00,156.5
573,9.5333,-9.81,6.27,126.9,0.00,-0.02,171.3
574,9.5500,-9.99,6.23,144.2,0.00,0.00,184.9
575,9.5667,-9.93,6.37,133.3,-0.00,0.00,191.8
576,9.5833,-9.85,6.21,143.6,0.00,-0.00,200.1
577,9.6000,-9.97,6.37,139.6,-0.00,0.00,201.5
578,9.6167,-10.00,6.33,142.6,0.00,-0.00,220.6
579,9.6333,-9.87,6.55,132.7,0.00,0.00,220.7
580,9.6500,-10.02,6.33,160.6,0.00,0.00,235.5
581,9.6667,-9.96,6.43,154.7,-0.00,0.00,222.0
582,9.6833,-9.98,6.46,156.9,-0.00,0.00,234.6
583,9.7000,-9.98,6.51,152.3,-0.01,-0.00,212.7
584,9.7167,-9.99,6.35,161.0,-0.00,0.00,232.7
585,9.7333,-9.98,6.57,143.5,-0.00,-0.00,230.1
586,9.7500,-9.93,6.55,143.3,0.00,-0.02,207.3
587,9.7667,-9.97,6.62,138.9,0.00,-0.01,227.3
588,9.7833,-9.93,6.70,131.3,0.00,-0.00,239.6
589,9.8000,-10.02,6.53,137.4,0.00,0.00,234.5
590,9.8167,-9.84,6.93,116.8,0.00,0.00,235.1
591,9.8333,-9.86,6.71,121.0,0.00,-0.00,233.5
592,9.8500,-10.07,7.45,125.2,-0.00,0.00,226.9
593,9.8667,-10.05,7.45,123.8,0.00,-0.00,217.1
594,9.8833,-10.09,7.19,105.2,0.00,0.00,208.7
595,9.9000,-10.00,7.59,124.5,0.00,-0.00,193.4
596,9.9167,-9.97,7.78,123.9,0.00,-0.00,189.4
597,9.9333,-10.09,7.72,119.1,-0.00,-0.00,174.2
598,9.9500,-9.87,7.59,106.6,0.01,-0.01,156.4
599,9.9667,-9.88,7.69,89.5,-0.01,-0.00,137.1
600,9.9833,-9.83,7.76,88.6,0.02,-0.02,126.2
601,10.0000,0.07,-0.01,98.3,-0.01,-0.01,114.3
602,10.0167,0.00,0.02,99.0,0.00,-0.01,116.9
603,10.0333,0.05,0.01,94.2,-0.00,-0.01,100.0
604,10.0500,0.01,0.03,102.8,-0.01,-0.01,97.8
605,10.0667,0.06,0.07,101.6,0.01,0.01,101.4
606,10.0833,0.05,0.05,93.3,-0.02,-0.05,88.8
607,10.1000,0.03,0.01,95.4,0.00,-0.04,85.9
608,10.1167,-0.00,0.03,102.0,-0.00,-0.02,77.1
609,10.1333,-0.00,0.05,115.5,0.01,-0.01,87.7
610,10.1500,0.02,0.04,110.4,-0.02,-0.02,98.1
611,10.1667,0.02,0.04,113.8,-0.01,-0.01,111.4
612,10.1833,-0.02,0.04,108.8,-0.01,-0.01,123.6
613,10.2000,0.03,0.03,115.7,-0.01,0.00,135.3
614,10.2167,-0.01,0.06,105.6,0.01,-0.01,151.2
615,10.2333,0.02,0.02,107.6,-0.01,-0.00,163.6
616,10.2500,-0.02,0.02,108.9,0.00,-0.01,176.7
617,10.2667,0.02,0.02,88.6,0.01,-0.01,160.7
618,10.2833,-9.50,7.53,87.0,0.00,-0.00,194.1
619,10.3000,0.01,0.02,84.6,0.00,0.00,221.2
620,10.3167,-9.77,7.65,108.4,0.00,0.00,215.2
621,10.3333,-9.61,7.76,110.1,0.00,-0.00,196.0
622,10.3500,-9.19,7.19,91.2,-0.00,-0.00,236.6
623,10.3667,-9.92,7.88,170.6,-0.00,0.00,241.1
624,10.3833,-9.62,7.41,120.8,0.00,-0.00,242.3
625,10.4000,-9.90,7.83,168.9,0.00,0.00,215.9
626,10.4167,-10.00,7.90,213.3,0.00,-0.00,241.2
627,10.4333,-9.85,7.77,179.6,0.00,0.00,227.7
628,10.4500,-9.95,7.90,230.0,-0.00,-0.00,227.0
629,10.4667,-9.99,7.94,248.0,0.01,-0.00,215.8
630,10.4833,-10.02,7.99,261.4,0.00,0.00,213.6
631,10.5000,-10.03,7.93,266.9,-0.00,-0.00,229.2
632,10.5167,-10.04,7.99,283.6,0.00,-0.00,215.6
633,10.5333,-10.09,8.00,278.9,-0.00,0.00,204.0
634,10.5500,-10.12,8.01,276.2,0.00,0.00,218.0
635,10.5667,-10.17,8.08,252.6,0.00,0.00,209.4
636,10.5833,-10.18,8.06,268.7,-0.00,0.00,192.7
637,10.6000,-10.26,8.13,249.2,-0.00,0.00,180.2
638,10.6167,-10.22,8.11,252.6,-0.00,0.00,162.3
639,10.6333,-10.29,8.10,256.9,-0.00,-0.01,145.7
640,10.6500,-10.31,8.16,239.7,0.02,0.01,122.2
641,10.6667,-10.41,8.18,219.6,0.00,0.01,124.3
642,10.6833,-10.44,8.21,207.5,0.00,0.01,111.5
643,10.7000,-11.25,8.88,146.0,0.01,-0.02,101.6
644,10.7167,-10.35,8.15,244.9,-0.02,-0.03,97.8
645,10.7333,-12.06,10.07,279.5,-0.02,-0.02,93.1
646,10.7500,-13.82,11.71,169.9,-0.01,0.00,80.8
647,10.7667,-14.40,11.95,195.5,0.00,-0.06,63.9
648,10.7833,-11.91,9.39,204.5,0.04,0.01,57.8
649,10.8000,-17.50,14.07,144.4,-0.05,0.03,47.3
650,10.8167,-18.49,21.56,122.4,0.05,-0.07,45.5
651,10.8333,-24.04,18.30,102.3,-0.03,0.01,32.8
652,10.8500,-23.37,28.31,59.3,-22.30,27.96,42.9
653,10.8667,-29.64,42.18,43.6,-14.04,29.96,41.5
654,10.8833,-12.36,9.92,191.9,-10.04,8.01,49.2
655,10.9000,-7.88,7.63,52.2,-8.05,30.69,19.3
656,10.9167,-8.00,7.52,71.3,-1.91,31.97,45.5
657,10.9333,-7.96,7.44,98.8,4.42,30.02,39.4
658,10.9500,-8.06,7.42,114.9,0.07,0.08,18.9
659,10.9667,-8.17,7.52,105.7,19.11,31.70,14.3
660,10.9833,-8.04,7.05,103.5,0.03,-0.02,62.6
661,11.0000,-8.12,7.56,109.5,0.23,0.05,17.3
662,11.0167,-8.18,7.33,93.5,0.02,0.06,46.8
663,11.0333,-8.14,7.60,105.3,-0.02,0.00,107.7
664,11.0500,-8.35,7.71,107.6,-0.00,0.00,191.6
665,11.0667,-8.16,7.66,116.0,0.00,-0.00,235.3
666,11.0833,-8.37,7.77,103.7,0.00,0.00,239.4
667,11.1000,-8.35,7.74,96.9,0.00,0.00,236.2
668,11.1167,-8.28,7.83,82.4,-0.00,0.00,230.9
669,11.1333,-8.19,7.98,76.1,-0.00,0.00,207.2
670,11.1500,-8.18,7.80,64.6,0.00,0.00,234.7
671,11.1667,-8.45,7.83,53.2,0.00,0.00,225.5
672,11.1833,-7.91,6.42,40.9,0.00,-0.00,218.4
673,11.2000,-13.80,4.36,43.6,0.00,0.01,185.9
674,11.2167,-13.71,4.30,42.2,-0.00,-0.00,210.2
675,11.2333,-8.57,7.63,39.4,-0.00,-0.00,221.8
676,11.2500,-12.22,6.04,80.6,0.00,-0.00,204.3
677,11.2667,-12.38,6.57,67.8,-0.00,-0.00,194.1
678,11.2833,-12.01,7.69,73.9,0.00,0.00,185.1
679,11.3000,-12.08,7.68,63.2,0.00,-0.00,166.1
680,11.3167,-14.07,9.50,113.0,-0.00,0.00,151.9
681,11.3333,-14.07,9.79,144.2,-0.00,0.00,135.0
682,11.3500,-13.91,9.65,135.6,0.00,0.01,117.2
683,11.3667,-14.13,9.67,169.6,-0.00,-0.01,100.6
684,11.3833,-13.67,12.44,97.3,-0.01,-0.02,98.5
685,11.4000,-14.43,12.65,94.0,-0.01,0.01,95.9
686,11.4167,-13.95,12.12,131.5,-0.01,-0.01,85.2
687,11.4333,-14.27,12.26,122.0,0.02,-0.04,80.8
688,11.4500,-15.34,14.11,71.9,0.02,-0.00,80.6
689,11.4667,-14.53,14.27,82.2,0.02,-0.01,81.2
690,11.4833,-15.55,14.21,91.5,0.00,-0.02,84.9
691,11.5000,-15.68,14.35,98.8,0.01,0.02,85.4
692,11.5167,-14.66,16.03,63.9,0.03,-0.01,99.1
693,11.5333,-14.71,15.97,58.5,0.01,-0.00,105.7
694,11.5500,-19.51,18.42,59.2,0.01,0.00,109.4
695,11.5667,-18.50,18.08,80.8,-0.02,-0.00,120.9
696,11.5833,-25.29,22.51,84.4,0.01,0.01,128.4
697,11.6000,-26.11,23.19,91.3,-0.01,0.00,143.5
698,11.6167,-25.74,22.66,108.1,0.00,-0.00,162.2
699,11.6333,-26.13,23.06,91.1,0.00,0.00,172.8
700,11.6500,-17.80,16.66,129.4,0.00,0.00,191.9
701,11.6667,-17.60,16.44,136.6,-0.00,0.00,198.5
702,11.6833,-17.43,16.91,105.8,-0.00,0.00,204.1
703,11.7000,-16.78,16.41,113.1,-0.00,-0.00,208.3
704,11.7167,-8.88,3.67,159.7,-0.00,0.00,204.6
705,11.7333,85.66,12.08,34.2,0.00,-0.00,184.9
706,11.7500,-4.12,23.16,109.3,0.00,0.01,142.9
707,11.7667,-3.93,33.16,114.4,-0.00,0.02,119.4
708,11.7833,-2.21,25.24,107.1,-0.00,0.02,94.5
709,11.8000,-1.82,45.93,84.9,0.02,-0.01,79.0
710,11.8167,-0.05,-0.02,86.9,-0.00,0.03,73.1
711,11.8333,-0.01,-0.02,136.4,0.01,0.02,88.8
712,11.8500,0.03,0.03,139.8,-0.01,-0.00,110.5
713,11.8667,0.03,-0.01,136.9,-0.00,0.00,154.5
714,11.8833,-0.04,6.16,136.2,-0.00,-0.00,225.3
715,11.9000,0.00,0.01,143.8,0.00,0.00,221.2
716,11.9167,0.03,5.94,122.4,0.00,0.00,230.5
717,11.9333,0.02,0.04,130.2,-0.00,0.00,226.7
718,11.9500,0.06,6.68,118.3,0.00,0.00,232.7
719,11.9667,0.03,0.03,153.5,0.00,-0.00,231.2
720,11.9833,0.01,0.01,143.9,-0.00,-0.00,225.3
721,12.0000,-0.04,9.38,84.0,-0.00,-0.01,189.0
722,12.0167,0.02,0.02,84.9,-0.00,-0.00,218.4
723,12.0333,-0.02,8.07,101.3,-0.00,-0.00,210.0
724,12.0500,-0.08,8.22,99.1,-0.00,-0.00,205.3
725,12.0667,-0.04,8.27,94.6,0.00,0.00,199.7
726,12.0833,-0.09,7.79,140.4,-0.01,-0.00,189.2
727,12.1000,-0.00,0.08,119.4,-0.00,-0.00,174.5
728,12.1167,-0.04,-0.08,174.4,0.00,0.01,169.0
729,12.1333,-0.12,0.34,71.6,-0.01,0.01,152.0
730,12.1500,0.04,0.04,228.0,0.01,0.01,150.2
731,12.1667,0.03,0.02,254.5,-0.00,0.00,138.8
732,12.1833,-0.03,-0.01,292.9,-0.00,-0.00,127.8
733,12.2000,-0.02,-0.02,282.8,-0.01,0.01,114.1
734,12.2167,-0.01,-0.04,161.7,-0.01,0.02,107.5
735,12.2333,0.02,0.02,156.4,0.00,0.01,103.5
