frame,t_s,n_pairs,median_spacing_px,pairs
892,14.8500,0,,
893,14.8667,0,,
894,14.8833,1,133.1,133.1@y1525
895,14.9000,0,,
896,14.9167,1,133.0,133.0@y1532
897,14.9333,0,,
898,14.9500,1,131.6,131.6@y1539
899,14.9667,0,,
900,14.9833,1,132.1,132.1@y1542
901,15.0000,0,,
902,15.0167,0,,
903,15.0333,1,135.8,135.8@y1542
904,15.0500,1,135.8,135.8@y1543
905,15.0667,1,133.7,133.7@y1544
906,15.0833,1,133.1,133.1@y1544
907,15.1000,0,,
908,15.1167,1,132.0,132.0@y1542
909,15.1333,1,132.0,132.0@y1540
910,15.1500,1,131.8,131.8@y1538
911,15.1667,1,132.0,132.0@y1536
912,15.1833,1,132.6,132.6@y1532
913,15.2000,0,,
914,15.2167,1,137.4,137.4@y1276
915,15.2333,1,135.1,135.1@y1343
916,15.2500,2,132.45,134.4@y1191 130.5@y1338
917,15.2667,1,132.6,132.6@y1188
918,15.2833,1,130.5,130.5@y1184
919,15.3000,2,131.45,130.4@y1183 132.5@y1332
920,15.3167,1,129.5,129.5@y1180
