frame,t,ground_dx_at_hole,ground_dy_at_hole,n_inliers,local_scale,sim_scale,zoom_resid_ln,cum_zoom_from_f785
418,7.0096,6.564,10.587,485,1.00517,1.00663,0.00101,1.0
419,7.0264,6.31,10.157,495,1.00434,1.00708,0.0004,1.0
420,7.0432,6.431,10.85,489,1.00518,1.00698,0.00087,1.0
421,7.06,5.534,9.86,515,1.0051,1.00686,0.00129,1.0
422,7.0768,5.716,10.642,488,1.00558,1.00764,0.00137,1.0
423,7.0936,5.186,10.877,505,1.00525,1.00428,0.0009,1.0
424,7.1104,4.74,11.171,500,1.0058,1.0072,0.00128,1.0
425,7.1272,4.523,11.09,500,1.00595,1.00703,0.00147,1.0
426,7.1441,4.118,11.255,509,1.00575,1.00684,0.00117,1.0
427,7.1609,3.87,11.262,457,1.00666,1.00732,0.00207,1.0
428,7.1777,3.412,10.845,530,1.00582,1.00749,0.00144,1.0
429,7.1945,3.369,11.361,543,1.00561,1.00733,0.00095,1.0
430,7.2113,3.195,11.518,542,1.00552,1.00731,0.00078,1.0
431,7.2281,2.878,11.36,554,1.00582,1.00758,0.00115,1.0
432,7.2449,2.647,11.295,525,1.00566,1.00748,0.00102,1.0
433,7.2617,2.666,10.955,531,1.00562,1.00414,0.00115,1.0
434,7.2785,2.442,11.271,534,1.00572,1.00726,0.00109,1.0
435,7.2953,2.275,11.288,519,1.00555,1.0045,0.0009,1.0
436,7.3122,1.883,10.766,478,1.00545,1.00389,0.00107,1.0
437,7.329,2.434,11.352,509,1.0061,1.00369,0.00142,1.0
438,7.3458,2.134,11.657,436,1.00568,1.00471,0.00083,1.0
439,7.3626,2.104,11.326,469,1.00569,1.00447,0.00102,1.0
440,7.3794,1.771,11.136,444,1.00585,1.00371,0.00127,1.0
441,7.3962,1.794,11.147,451,1.00561,1.00365,0.00102,1.0
442,7.413,1.868,11.303,445,1.0057,1.00773,0.00103,1.0
443,7.4298,1.235,10.632,400,1.00533,1.00472,0.00099,1.0
444,7.4466,1.445,11.024,428,1.00534,1.00346,0.00081,1.0
445,7.4634,1.631,11.497,395,1.00545,1.00385,0.00068,1.0
446,7.4802,1.291,11.128,400,1.00539,1.00396,0.0008,1.0
447,7.4971,1.669,11.295,365,1.00566,1.00489,0.00099,1.0
448,7.5139,1.504,11.581,377,1.00534,1.00402,0.00052,1.0
449,7.5307,2.563,10.955,343,1.00593,1.00388,0.00146,1.0
450,7.5475,1.441,11.117,374,1.00553,1.00457,0.00095,1.0
451,7.5643,1.646,10.698,350,1.00667,1.00364,0.0023,1.0
452,7.5811,2.566,10.707,370,1.00655,1.00377,0.00221,1.0
453,7.5979,1.03,11.572,379,1.00579,1.00346,0.00096,1.0
454,7.6147,1.145,11.454,378,1.00503,1.00383,0.00027,1.0
455,7.6315,1.447,10.83,374,1.00589,1.00376,0.00145,1.0
456,7.6483,0.471,11.068,339,1.00586,1.00389,0.00127,1.0
457,7.6652,1.784,11.325,342,1.00766,1.0036,0.00297,1.0
458,7.682,-1.139,11.408,354,1.00469,1.00348,-0.00011,1.0
459,7.6988,-0.514,11.524,320,1.00448,1.00351,-0.00036,1.0
460,7.7156,-0.134,11.763,362,1.00456,1.0036,-0.00039,1.0
461,7.7324,-0.786,11.411,326,1.00482,1.00352,3e-05,1.0
462,7.7492,-1.148,11.499,346,1.00458,1.00327,-0.00027,1.0
463,7.766,-1.141,11.226,325,1.00516,1.00385,0.00045,1.0
464,7.7828,-1.18,11.072,324,1.00468,1.00345,5e-05,1.0
465,7.7996,-1.679,11.032,322,1.00537,1.00387,0.00075,1.0
466,7.8164,0.0,0.0,433,1.0,1.0,0.00116,1.0
467,7.8332,0.0,0.0,433,1.0,1.0,0.00116,1.0
468,7.8501,0.0,0.0,433,1.0,1.0,0.00116,1.0
469,7.8669,-5.085,47.592,179,1.02229,1.01454,-0.00161,1.0
470,7.8837,-1.159,10.054,297,1.00528,1.00355,0.00118,1.0
471,7.9005,-0.867,9.876,313,1.00602,1.00402,0.00201,1.0
472,7.9173,-1.682,10.109,313,1.00503,1.00382,0.00088,1.0
473,7.9341,-1.554,10.206,306,1.00526,1.00382,0.00107,1.0
474,7.9509,-1.121,10.309,310,1.00682,1.00407,0.00258,1.0
475,7.9677,-1.297,10.285,319,1.00539,1.00402,0.00116,1.0
476,7.9845,-1.823,10.581,298,1.00506,1.00411,0.00067,1.0
477,8.0013,-1.492,11.457,296,1.00476,1.00424,-7e-05,1.0
478,8.0182,-2.007,10.966,259,1.00525,1.00434,0.00066,1.0
479,8.035,-2.324,10.958,242,1.00543,1.00425,0.00083,1.0
480,8.0518,-2.455,9.873,303,1.00595,1.00432,0.00191,1.0
481,8.0686,-2.144,11.0,237,1.0046,1.0041,-1e-05,1.0
482,8.0854,-3.921,10.882,223,1.00506,1.00384,0.00046,1.0
483,8.1022,-2.276,11.01,245,1.00528,1.00432,0.00065,1.0
484,8.119,-2.389,10.331,218,1.00602,1.00488,0.00174,1.0
485,8.1358,-3.055,10.097,239,1.00518,1.00439,0.00101,1.0
486,8.1526,-2.767,10.059,301,1.00534,1.00469,0.0012,1.0
487,8.1694,-1.585,9.729,230,1.00504,1.00434,0.0011,1.0
488,8.1862,-2.94,9.913,213,1.00584,1.00507,0.00176,1.0
489,8.2031,-3.024,9.438,214,1.0042,1.00403,0.00037,1.0
490,8.2199,-2.154,9.824,242,1.00509,1.00483,0.00108,1.0
491,8.2367,-3.217,9.997,215,1.00508,1.00474,0.00096,1.0
492,8.2535,-4.303,10.967,293,1.00468,1.00483,2e-05,1.0
