frame,t_s,dxA,dyA,peakA,texA,dxC,dyC,peakC,texC,dxD,dyD,peakD,texD
430,7.1500,2.27,7.89,230.2,14.16,-0.00,0.01,100.8,1.80,0.02,-0.42,162.9,7.01
431,7.1667,2.15,7.85,245.8,14.22,-0.01,-0.04,84.2,1.88,0.06,-0.40,174.9,7.02
432,7.1833,2.13,7.90,253.6,14.34,0.03,0.02,72.1,2.00,0.04,-0.45,162.1,6.97
433,7.2000,2.08,7.91,245.8,14.56,-0.05,-0.00,73.0,2.05,0.13,-0.63,147.8,6.98
434,7.2167,2.05,7.92,243.2,14.68,0.16,10.42,71.8,2.12,0.11,-0.57,148.4,6.92
435,7.2333,2.03,7.94,231.2,14.86,0.16,10.42,80.2,2.21,0.09,-0.42,154.7,6.95
436,7.2500,1.97,7.92,226.1,15.00,1.22,10.11,62.0,2.27,0.09,-0.28,178.5,6.93
437,7.2667,1.97,8.00,206.4,15.13,0.11,11.70,89.1,2.33,0.16,-0.46,142.1,6.90
438,7.2833,1.93,8.01,206.1,15.26,0.10,10.21,64.4,2.38,0.04,-0.41,153.5,6.90
439,7.3000,1.93,8.03,206.0,15.42,0.67,10.42,73.1,2.44,0.04,-0.25,176.6,6.89
440,7.3167,1.90,8.16,189.6,15.57,0.57,10.73,64.7,2.56,0.16,-0.33,151.1,6.83
441,7.3333,1.89,8.17,187.7,15.67,0.15,10.94,74.3,2.71,0.10,-0.32,162.9,6.83
442,7.3500,1.85,8.24,173.7,15.74,0.03,10.89,87.2,2.84,0.03,-0.29,165.5,6.83
443,7.3667,1.82,8.41,152.3,15.91,0.03,11.41,91.1,3.01,0.17,-0.30,172.1,6.78
444,7.3833,1.74,8.30,149.8,16.14,0.11,11.47,94.3,3.11,-0.04,-0.17,187.6,6.78
445,7.4000,1.74,8.30,152.8,16.24,0.03,11.41,72.7,3.26,0.16,-0.32,156.0,6.77
446,7.4167,1.72,8.35,140.8,16.33,0.07,11.87,129.3,3.37,0.06,-0.16,183.2,6.77
447,7.4333,1.67,8.54,131.1,16.56,-0.01,11.49,99.2,3.50,0.07,-0.17,181.8,6.80
448,7.4500,1.64,8.41,133.7,16.71,0.06,11.65,100.0,3.63,0.09,-0.27,165.6,6.74
449,7.4667,1.51,8.22,138.5,16.75,0.02,11.86,121.9,3.73,0.22,-0.40,154.1,6.75
450,7.4833,1.52,8.36,124.5,16.78,0.01,11.90,121.2,3.88,0.30,-0.49,138.4,6.76
451,7.5000,1.45,8.33,114.9,16.79,0.00,12.01,126.3,4.03,0.13,-0.48,146.8,6.71
452,7.5167,1.50,8.20,108.3,16.78,-0.02,12.00,110.9,4.19,0.31,-0.85,132.6,6.72
453,7.5333,1.37,8.17,95.2,16.81,-0.02,12.00,87.6,4.34,0.07,-0.79,173.5,6.68
454,7.5500,1.32,8.09,98.2,16.83,-0.09,12.00,90.0,4.48,-0.20,-1.06,130.8,6.69
455,7.5667,0.54,8.61,95.2,16.84,-0.10,11.89,68.9,4.59,-0.24,-1.57,153.5,6.65
456,7.5833,0.50,8.81,101.8,16.68,-0.27,12.47,48.6,4.68,-0.08,-1.22,136.4,6.58
457,7.6000,0.46,8.62,111.7,16.63,-0.25,12.55,54.3,4.81,-0.09,-1.10,135.3,6.60
458,7.6167,0.36,8.39,112.2,16.53,0.00,13.41,36.6,4.90,-0.12,-1.04,153.7,6.56
459,7.6333,-0.24,11.55,109.4,16.48,-2.22,10.67,35.6,5.01,0.10,-0.92,155.2,6.58
460,7.6500,0.07,8.54,105.7,16.43,-2.29,10.57,36.3,5.11,0.10,-0.88,159.3,6.54
461,7.6667,-0.00,8.46,116.7,16.39,-2.10,10.44,53.9,5.22,0.10,-0.72,175.8,6.56
462,7.6833,-0.11,8.22,123.9,16.34,-2.00,10.64,57.1,5.38,0.13,-0.55,161.8,6.51
463,7.7000,-0.10,8.27,119.0,16.26,-1.63,11.79,43.5,5.54,0.22,-0.34,160.7,6.53
464,7.7167,-0.21,8.33,124.6,16.19,-1.61,11.38,39.6,5.72,0.14,-0.15,181.8,6.52
465,7.7333,-0.27,8.25,124.4,16.04,-3.47,10.10,65.5,5.89,0.06,-0.12,199.0,6.52
466,7.7500,0.00,0.00,470.2,16.04,0.00,-0.00,243.2,5.89,0.00,0.00,314.6,6.52
467,7.7667,0.00,0.00,470.2,16.04,0.00,-0.00,243.2,5.89,0.00,0.00,314.6,6.52
468,7.7833,0.00,0.00,470.2,16.04,0.00,-0.00,243.2,5.89,0.00,0.00,314.6,6.52
469,7.8000,0.15,35.19,49.0,15.76,-12.05,43.92,21.2,6.36,0.15,-0.31,161.0,6.48
470,7.8167,-0.50,7.93,121.1,15.74,-0.22,11.91,78.9,6.48,0.10,-0.06,203.4,6.49
471,7.8333,-0.43,7.89,123.3,15.61,-3.57,9.47,54.2,6.60,0.16,-0.44,148.6,6.47
472,7.8500,-0.47,7.87,114.0,15.58,-3.37,9.84,41.9,6.71,0.14,-0.42,150.2,6.42
473,7.8667,-1.32,8.11,85.8,15.55,-3.88,10.01,79.1,6.78,0.19,-0.54,146.2,6.42
474,7.8833,-2.21,11.18,99.3,15.45,-2.07,11.88,64.5,6.85,0.10,-0.69,161.3,6.37
475,7.9000,-7.83,14.24,74.4,15.32,-3.89,10.15,71.3,6.92,0.11,-0.49,167.7,6.34
476,7.9167,-1.39,8.58,90.5,15.26,-4.20,10.15,89.6,6.96,0.18,-0.53,144.7,6.34
477,7.9333,-1.97,14.40,107.6,15.16,-4.29,10.73,53.4,6.97,0.18,-0.44,151.3,6.25
478,7.9500,-1.04,8.27,76.0,15.06,-4.09,10.86,60.6,6.97,0.14,-0.48,138.1,6.21
479,7.9667,-1.50,8.27,74.3,14.95,-3.76,11.45,48.1,6.95,0.16,-0.53,159.0,6.12
480,7.9833,-3.71,11.66,78.6,14.91,-5.70,10.02,98.6,6.96,0.20,-0.44,142.3,6.17
481,8.0000,-1.82,8.71,72.1,14.80,-4.09,11.22,32.1,6.92,0.23,-0.33,144.1,6.32
482,8.0167,-2.00,8.61,95.5,14.74,-4.15,11.52,43.6,6.87,0.33,-0.46,121.1,6.44
483,8.0333,-2.00,8.72,106.9,14.61,-4.11,11.99,29.2,6.83,0.18,-0.28,137.8,6.74
484,8.0500,-2.25,9.09,92.1,14.63,-6.07,10.26,29.0,6.75,0.20,-0.27,135.5,6.93
485,8.0667,-2.07,8.61,78.1,14.53,-6.60,10.69,17.0,6.54,0.18,-0.26,138.2,6.98
486,8.0833,-3.83,10.39,109.7,14.42,-6.04,10.86,55.1,6.45,0.18,-0.24,115.2,6.97
487,8.1000,-2.19,8.55,75.2,14.47,-5.66,11.86,18.9,6.32,0.18,-0.32,88.4,6.99
488,8.1167,-2.67,9.03,64.2,14.28,-6.10,11.64,29.2,6.76,0.15,-0.44,62.9,7.01
489,8.1333,-3.45,9.52,69.7,14.21,-6.03,11.62,29.6,7.45,-4.91,14.12,65.7,7.12
490,8.1500,-3.70,9.33,70.1,14.15,-6.00,11.93,22.6,8.18,-5.59,14.16,99.0,7.19
491,8.1667,-3.93,9.58,74.9,13.92,-8.29,10.19,13.2,8.39,-5.79,14.16,109.5,7.25
492,8.1833,-4.17,9.51,137.4,13.71,-6.26,11.71,55.7,8.48,-6.04,14.11,120.9,7.33
493,8.2000,-3.26,8.89,42.9,13.31,-96.04,-69.85,14.3,8.67,-6.24,14.14,125.2,7.40
