frame,t,knob_x,knob_y,knob_method,base_x,base_y,ring_r,base_method,knob_dist,knob_angle_deg,hole_vx,hole_vy,hole_speed,travel_angle_deg
348,5.8329,969.0,1775.0,H,964.0,1948.0,162.1999969482422,H,173.1,-88.3,0.57,-2.35,2.42,-76.3
349,5.8497,973.0,1765.0,H,968.0,1944.0,165.0,H,179.1,-88.4,0.68,-2.47,2.56,-74.6
350,5.8665,971.0,1763.0,H,960.0,1938.0,165.0,H,175.3,-86.4,0.72,-2.87,2.96,-76.0
351,5.8833,971.0,1757.0,H,960.0,1934.0,165.0,H,177.3,-86.4,0.7,-3.13,3.2,-77.4
352,5.9002,971.0,1757.0,H,964.0,1932.0,160.60000610351562,H,175.1,-87.7,0.89,-3.49,3.61,-75.7
353,5.917,971.0,1753.0,H,960.0,1924.0,164.8000030517578,H,171.4,-86.3,0.68,-3.73,3.8,-79.6
354,5.9338,971.0,1749.0,H,960.0,1924.0,164.8000030517578,H,175.3,-86.4,0.6,-3.72,3.77,-80.8
355,5.9506,973.0,1747.0,H,964.0,1920.0,169.0,H,173.2,-87.0,1.12,-4.21,4.35,-75.1
356,5.9674,973.0,1743.0,H,964.0,1914.0,165.0,H,171.2,-87.0,1.06,-4.65,4.77,-77.2
357,5.9842,975.0,1741.0,H,964.0,1918.0,160.1999969482422,H,177.3,-86.4,0.9,-4.87,4.95,-79.6
358,6.001,977.0,1739.0,H,968.0,1916.0,164.8000030517578,H,177.2,-87.1,1.07,-5.51,5.61,-79.0
359,6.0178,983.0,1739.0,H,964.0,1914.0,160.1999969482422,H,176.0,-83.8,0.94,-5.95,6.03,-81.0
360,6.0346,989.0,1739.0,H,964.0,1914.0,160.60000610351562,H,176.8,-81.9,1.15,-5.88,5.99,-79.0
361,6.0514,999.0,1739.0,H,964.0,1906.0,165.0,H,170.6,-78.2,1.05,-6.65,6.74,-81.0
362,6.0682,1005.0,1739.0,H,966.0,1910.0,169.1999969482422,H,175.4,-77.2,1.33,-7.02,7.14,-79.3
363,6.0851,1011.0,1739.0,H,960.0,1908.0,164.39999389648438,H,176.5,-73.2,1.46,-7.18,7.33,-78.5
364,6.1019,1019.0,1739.0,H,970.0,1908.0,164.8000030517578,H,176.0,-73.8,1.74,-7.72,7.91,-77.3
365,6.1187,1025.0,1743.0,H,966.0,1906.0,160.1999969482422,H,173.3,-70.1,1.96,-8.2,8.43,-76.6
366,6.1355,1031.0,1741.0,H,970.0,1904.0,165.0,H,174.0,-69.5,2.54,-8.45,8.82,-73.3
367,6.1523,1037.0,1741.0,H,968.0,1902.0,160.39999389648438,H,175.2,-66.8,2.5,-8.79,9.14,-74.1
368,6.1691,1039.0,1743.0,H,968.0,1898.0,160.60000610351562,H,170.5,-65.4,2.98,-9.19,9.66,-72.0
369,6.1859,1043.0,1739.0,H,968.0,1900.0,168.1999969482422,H,177.6,-65.0,3.25,-9.58,10.11,-71.3
370,6.2027,1045.0,1739.0,H,968.0,1896.0,168.0,H,174.9,-63.9,3.73,-9.89,10.57,-69.3
371,6.2195,1045.0,1739.0,H,968.0,1896.0,168.0,H,174.9,-63.9,3.92,-9.84,10.6,-68.3
372,6.2363,1045.0,1739.0,H,968.0,1896.0,168.0,H,174.9,-63.9,4.48,-10.34,11.27,-66.6
373,6.2532,1045.0,1737.0,H,966.0,1894.0,165.1999969482422,H,175.8,-63.3,4.67,-10.29,11.3,-65.6
374,6.27,1045.0,1737.0,H,966.0,1892.0,164.1999969482422,H,174.0,-63.0,5.02,-10.78,11.89,-65.1
375,6.2868,1043.0,1737.0,H,970.0,1896.0,167.8000030517578,H,175.0,-65.3,5.3,-11.04,12.25,-64.4
376,6.3036,1043.0,1737.0,H,970.0,1896.0,167.8000030517578,H,175.0,-65.3,5.67,-11.37,12.71,-63.5
