frame,t_s,base_x,base_y,r,score,knob_x,knob_y,dist
407,6.7667,935.3,1721.2,165,67.69,858.3,1563.2,175.8
408,6.7833,934.8,1720.6,165,65.81,857.8,1562.6,175.8
409,6.8000,935.1,1720.6,165,64.02,858.1,1562.6,175.8
410,6.8167,934.6,1719.3,165,62.35,857.6,1562.3,174.9
411,6.8333,935.0,1719.7,165,61.61,858.0,1561.7,175.8
412,6.8500,934.5,1719.5,165,60.92,857.5,1561.5,175.8
413,6.8667,933.9,1718.6,165,60.85,857.9,1560.6,175.3
414,6.8833,933.9,1718.0,165,60.63,857.9,1560.0,175.3
415,6.9000,933.3,1717.4,165,60.50,858.3,1558.4,175.8
416,6.9167,932.0,1717.4,165,60.56,860.0,1556.4,176.4
417,6.9333,933.2,1716.0,165,60.33,866.2,1553.0,176.2
418,6.9500,931.8,1714.9,165,60.79,873.8,1548.9,175.8
419,6.9667,931.8,1715.7,165,61.06,880.8,1545.7,177.5
420,6.9833,931.3,1713.7,165,61.25,887.3,1542.7,176.6
421,7.0000,930.9,1713.5,165,61.12,891.9,1540.5,177.3
422,7.0167,932.0,1711.3,165,61.44,896.0,1538.3,176.7
423,7.0333,931.1,1709.8,165,61.28,899.1,1535.8,176.9
424,7.0500,930.9,1708.9,165,61.19,901.9,1533.9,177.4
425,7.0667,929.3,1708.0,165,61.16,904.3,1532.0,177.8
426,7.0833,929.9,1705.4,165,61.17,905.9,1529.4,177.6
427,7.1000,930.2,1703.9,165,61.15,906.2,1527.9,177.6
428,7.1167,929.3,1703.6,165,61.30,905.3,1526.6,178.6
429,7.1333,929.2,1701.5,165,61.49,905.2,1525.5,177.6
430,7.1500,928.4,1700.6,165,61.48,905.4,1524.6,177.5
431,7.1667,929.1,1701.3,165,60.98,905.1,1523.3,179.6
432,7.1833,928.7,1698.5,165,61.00,905.7,1522.5,177.5
433,7.2000,928.6,1698.7,165,60.87,906.6,1521.7,178.4
434,7.2167,928.3,1697.9,165,61.08,906.3,1520.9,178.4
435,7.2333,928.8,1698.0,165,61.01,907.8,1520.0,179.2
436,7.2500,928.4,1696.8,165,61.31,907.4,1519.8,178.2
437,7.2667,927.9,1695.7,165,61.44,907.9,1518.7,178.1
438,7.2833,927.9,1695.9,165,61.53,908.9,1517.9,179.0
439,7.3000,928.0,1693.4,165,61.12,910.0,1517.4,176.9
440,7.3167,927.9,1693.6,165,61.31,910.9,1516.6,177.8
441,7.3333,927.5,1693.0,165,61.06,912.5,1516.0,177.6
442,7.3500,927.9,1691.9,165,61.29,912.9,1514.9,177.6
443,7.3667,927.9,1692.2,165,61.36,913.9,1514.2,178.5
444,7.3833,927.6,1692.5,165,60.83,914.6,1513.5,179.5
445,7.4000,927.1,1689.7,165,60.85,916.1,1513.7,176.3
446,7.4167,927.9,1690.1,165,60.75,915.9,1513.1,177.4
447,7.4333,927.8,1690.4,165,60.72,916.8,1512.4,178.3
448,7.4500,928.0,1688.6,165,60.90,918.0,1511.6,177.3
449,7.4667,926.3,1688.7,165,60.78,920.3,1510.7,178.1
450,7.4833,927.6,1688.4,165,60.94,922.6,1509.4,179.1
451,7.5000,927.6,1688.4,165,60.64,925.6,1508.4,180.0
452,7.5167,926.5,1687.0,165,60.62,928.5,1508.0,179.0
453,7.5333,927.0,1684.9,165,60.62,930.0,1506.9,178.0
454,7.5500,927.9,1683.7,165,60.58,932.9,1505.7,178.1
455,7.5667,927.3,1682.2,165,60.94,934.3,1505.2,177.1
456,7.5833,928.2,1682.2,165,60.61,937.2,1504.2,178.2
457,7.6000,927.2,1680.0,165,60.24,939.2,1503.0,177.4
458,7.6167,927.5,1680.4,165,60.46,939.5,1501.4,179.4
459,7.6333,926.7,1678.4,165,59.96,940.7,1500.4,178.5
460,7.6500,927.0,1677.4,165,59.52,943.0,1499.4,178.7
461,7.6667,927.9,1675.8,165,59.45,943.9,1498.8,177.7
462,7.6833,926.6,1675.5,165,59.58,943.6,1497.5,178.8
463,7.7000,928.5,1675.1,165,58.79,944.5,1497.1,178.7
464,7.7167,927.7,1674.7,165,58.87,945.7,1496.7,178.9
465,7.7333,927.9,1674.4,165,58.66,945.9,1496.4,178.9
466,7.7500,927.9,1674.4,165,58.66,945.9,1496.4,178.9
467,7.7667,927.9,1674.4,165,58.66,945.9,1496.4,178.9
468,7.7833,927.9,1674.4,165,58.66,945.9,1496.4,178.9
469,7.8000,927.4,1673.1,165,57.99,947.4,1496.1,178.1
470,7.8167,927.5,1674.0,165,57.75,952.5,1496.0,179.7
471,7.8333,926.8,1672.7,165,57.76,955.8,1495.7,179.4
472,7.8500,926.7,1672.4,165,57.81,958.7,1495.4,179.9
