frame,t_s,diameter_px,centre_x,centre_y,run_ctr,span,height,comp_area,seed_ok
576,9.5833,12,171.5,288.5,2,117,78,350,0
577,9.6000,12,171.5,288.5,2,117,78,350,0
578,9.6167,12,171.5,288.5,2,117,78,350,0
579,9.6333,12,171.5,288.5,2,117,78,350,0
580,9.6500,12,171.5,288.5,2,117,78,350,0
581,9.6667,12,171.5,288.5,2,117,78,350,0
582,9.6833,12,171.5,288.5,2,117,78,350,0
583,9.7000,12,171.5,288.5,2,117,78,350,0
584,9.7167,12,171.5,288.5,2,117,78,350,0
585,9.7333,12,171.5,288.5,2,117,78,350,0
586,9.7500,12,171.5,288.5,2,117,78,350,0
587,9.7667,12,171.5,288.5,2,117,78,350,0
588,9.7833,12,171.5,288.5,2,117,78,350,0
589,9.8000,12,171.5,288.5,2,117,78,350,0
590,9.8167,12,171.5,288.5,2,117,78,350,0
591,9.8333,12,171.5,288.5,2,117,78,350,0
592,9.8500,12,171.5,288.5,2,117,78,350,0
593,9.8667,12,171.5,288.5,2,117,78,350,0
594,9.8833,12,171.5,288.5,2,117,78,350,0
595,9.9000,12,171.5,288.5,2,117,78,350,0
596,9.9167,12,171.5,288.5,2,117,78,350,0
597,9.9333,12,171.5,288.5,2,117,78,350,0
598,9.9500,12,171.5,288.5,2,117,78,350,0
599,9.9667,12,171.5,288.5,2,117,78,350,0
600,9.9833,12,171.5,288.5,2,117,78,350,0
601,10.0000,12,171.5,288.5,2,117,78,350,0
602,10.0167,12,171.5,288.5,2,117,78,350,0
603,10.0333,12,171.5,288.5,2,117,78,350,0
604,10.0500,12,171.5,288.5,2,117,78,350,0
605,10.0667,12,171.5,288.5,2,117,78,350,0
606,10.0833,12,171.5,288.5,2,117,78,350,0
607,10.1000,12,171.5,288.5,2,117,78,355,0
608,10.1167,12,171.5,288.5,2,117,78,355,0
609,10.1333,12,171.5,288.5,2,117,78,355,0
610,10.1500,13,172.0,288.5,2,117,78,358,0
611,10.1667,13,172.0,288.5,2,117,78,358,0
612,10.1833,13,172.0,288.5,2,117,78,358,0
613,10.2000,13,172.0,288.5,2,117,78,358,0
614,10.2167,13,172.0,288.5,2,117,78,358,0
615,10.2333,13,172.0,288.5,2,117,78,358,0
616,10.2500,13,172.0,288.5,2,117,78,358,0
617,10.2667,13,172.0,288.5,2,117,78,357,0
618,10.2833,13,172.0,288.5,2,117,78,357,0
619,10.3000,13,172.0,288.5,2,117,78,357,0
620,10.3167,13,172.0,288.5,2,117,78,357,0
621,10.3333,13,172.0,288.5,2,117,78,357,0
622,10.3500,13,172.0,288.5,2,117,78,357,0
623,10.3667,13,172.0,288.5,2,117,78,357,0
624,10.3833,13,172.0,288.5,2,117,78,357,0
625,10.4000,15,173.0,288.5,2,117,78,374,0
626,10.4167,15,173.0,288.5,2,117,78,374,0
627,10.4333,15,173.0,288.5,2,117,78,374,0
628,10.4500,15,173.0,288.5,2,117,78,387,0
629,10.4667,15,173.0,288.5,2,117,78,387,0
630,10.4833,15,173.0,288.5,2,117,78,387,0
631,10.5000,15,173.0,288.5,2,117,78,387,0
632,10.5167,15,173.0,288.5,2,117,78,387,0
633,10.5333,15,173.0,288.5,2,117,78,387,0
634,10.5500,15,173.0,288.5,2,117,78,387,0
635,10.5667,15,173.0,288.5,2,117,78,387,0
636,10.5833,15,173.0,288.5,2,117,78,387,0
637,10.6000,15,173.0,288.5,2,117,78,387,0
638,10.6167,15,173.0,288.5,2,117,78,387,0
639,10.6333,15,173.0,288.5,2,117,78,387,0
640,10.6500,15,173.0,288.5,2,117,78,387,0
641,10.6667,15,173.0,288.5,2,117,78,387,0
642,10.6833,15,173.0,288.5,2,117,78,387,0
643,10.7000,15,173.0,288.5,2,117,78,392,0
644,10.7167,15,173.0,288.5,2,117,78,392,0
645,10.7333,15,173.0,288.5,2,117,78,392,0
646,10.7500,15,173.0,288.5,2,117,78,392,0
647,10.7667,15,173.0,288.5,2,117,78,392,0
648,10.7833,15,173.0,288.5,2,117,78,392,0
649,10.8000,15,173.0,288.5,2,117,78,392,0
650,10.8167,15,173.0,288.5,2,117,78,392,0
651,10.8333,15,173.0,288.5,2,117,78,392,0
652,10.8500,15,173.0,288.5,2,117,78,392,0
653,10.8667,15,173.0,288.5,2,117,78,392,0
654,10.8833,15,173.0,288.5,2,117,78,392,0
655,10.9000,15,173.0,288.5,2,117,78,392,0
656,10.9167,15,173.0,288.5,2,117,78,392,0
657,10.9333,15,173.0,288.5,2,117,78,392,0
658,10.9500,15,173.0,288.5,2,117,78,392,0
659,10.9667,15,173.0,288.5,2,117,78,392,0
660,10.9833,15,173.0,288.5,2,117,78,392,0
661,11.0000,15,173.0,288.5,2,117,78,392,0
662,11.0167,15,173.0,288.5,2,117,78,392,0
663,11.0333,15,173.0,288.5,2,117,78,392,0
664,11.0500,15,173.0,288.5,2,117,78,392,0
665,11.0667,15,173.0,288.5,2,117,78,392,0
666,11.0833,15,173.0,288.5,2,117,78,392,0
667,11.1000,15,173.0,288.5,2,117,78,392,0
668,11.1167,15,173.0,288.5,2,117,78,392,0
669,11.1333,15,173.0,288.5,2,117,78,392,0
670,11.1500,15,173.0,288.5,2,117,78,392,0
671,11.1667,15,173.0,288.5,2,117,78,392,0
672,11.1833,15,173.0,288.5,2,117,78,392,0
673,11.2000,15,173.0,288.5,2,117,78,392,0
674,11.2167,15,173.0,288.5,2,117,78,392,0
675,11.2333,15,173.0,288.5,2,117,78,392,0
676,11.2500,15,173.0,288.5,2,117,78,392,0
677,11.2667,15,173.0,288.5,2,117,78,392,0
678,11.2833,15,173.0,288.5,2,117,78,392,0
679,11.3000,15,173.0,288.5,2,117,78,392,0
680,11.3167,15,173.0,288.5,2,117,78,392,0
681,11.3333,15,173.0,288.5,2,117,78,392,0
682,11.3500,15,173.0,288.5,2,117,78,392,0
683,11.3667,15,173.0,288.5,2,117,78,392,0
684,11.3833,15,173.0,288.5,2,117,78,392,0
685,11.4000,15,173.0,288.5,2,117,78,392,0
686,11.4167,15,173.0,288.5,2,117,78,392,0
687,11.4333,15,173.0,288.5,2,117,78,392,0
688,11.4500,18,174.5,288.5,2,102,78,398,0
689,11.4667,18,174.5,288.5,2,102,78,398,0
690,11.4833,12,171.5,288.5,2,100,78,373,0
691,11.5000,12,171.5,288.5,2,100,78,373,0
692,11.5167,12,171.5,288.5,2,100,78,373,0
693,11.5333,12,171.5,288.5,2,100,78,373,0
694,11.5500,12,171.5,288.5,2,100,78,373,0
695,11.5667,12,171.5,288.5,2,100,78,373,0
696,11.5833,12,171.5,288.5,2,100,78,373,0
697,11.6000,12,171.5,288.5,2,100,78,373,0
698,11.6167,12,171.5,288.5,2,100,78,373,0
699,11.6333,12,171.5,288.5,2,100,78,373,0
700,11.6500,12,171.5,288.5,2,100,78,373,0
701,11.6667,12,171.5,288.5,2,100,78,373,0
702,11.6833,12,171.5,288.5,2,100,78,373,0
