frame,blob_id,cx,cy,w,h,area
774,1,1031.7,1126.2,140,188,7920
774,2,751.2,1179.9,116,124,7632
774,3,764.6,1371.5,152,188,9792
775,0,1036.5,934.5,108,120,6464
775,1,1021.2,1132.6,140,188,7968
775,2,736.7,1212.0,112,128,7488
775,3,753.2,1399.8,152,184,9648
776,0,1025.1,940.1,112,120,6544
776,1,1010.9,1139.1,144,188,8064
776,2,721.6,1249.1,112,128,7376
776,3,740.5,1430.0,152,180,9440
777,0,1014.7,946.6,112,120,6448
777,1,1000.5,1146.5,140,188,8160
777,2,708.0,1290.4,112,120,7216
777,3,736.4,1451.7,140,156,7120
778,0,1003.9,953.1,108,120,6480
778,1,991.1,1151.8,144,188,8112
778,2,693.2,1334.8,112,124,7104
778,3,728.9,1466.9,84,108,3744
779,0,993.0,959.6,112,120,6496
779,1,980.7,1157.9,144,188,8336
779,2,684.6,1401.6,116,184,8304
780,0,982.2,966.1,112,124,6608
780,1,970.3,1165.9,144,188,8464
780,2,668.7,1392.6,112,120,7056
781,0,971.7,972.5,108,120,6560
781,1,961.7,1169.8,144,188,8240
781,2,654.9,1443.5,108,116,6624
782,0,960.8,979.3,112,120,6560
782,1,953.7,1173.3,144,188,7968
782,2,649.0,1474.8,96,64,2336
783,0,950.0,985.6,112,124,6608
783,1,948.9,1176.6,140,188,7248
784,0,939.2,993.7,108,124,6816
784,1,946.4,1174.8,80,184,6176
785,0,928.2,1001.1,112,124,6848
785,1,939.0,1171.5,68,180,5200
786,0,916.2,1009.3,112,120,6752
786,1,917.6,1185.5,120,188,5328
787,0,902.4,1020.2,112,120,6768
787,1,910.8,1188.0,64,176,4832
788,0,888.1,1032.3,112,120,6608
788,1,899.7,1191.2,72,156,4480
789,0,872.7,1046.0,112,124,6752
789,1,862.6,1233.3,148,188,6544
790,0,857.1,1058.9,112,120,6288
790,1,849.7,1250.5,136,180,6336
791,0,840.4,1066.9,108,108,5056
791,1,853.8,1199.9,60,92,1936
791,2,827.6,1300.6,148,76,4640
792,0,818.6,1073.6,108,100,3504
792,1,820.6,1292.9,144,180,5968
793,0,794.0,1100.0,84,108,2320
793,1,808.1,1310.7,144,160,6768
794,0,795.6,1319.9,144,164,7776
795,0,779.6,1344.8,140,168,7792
796,0,759.7,1214.1,100,108,4768
796,1,764.8,1375.0,136,164,7344
797,0,744.3,1247.6,96,108,5296
797,1,750.4,1408.7,136,160,7008
798,0,730.2,1261.6,96,104,5040
798,1,737.3,1419.7,132,152,6576
799,0,716.3,1302.7,96,104,5024
799,1,723.6,1454.8,128,152,6624
800,0,702.5,1347.4,92,100,4672
800,1,711.4,1493.2,124,144,6096
801,0,694.6,1472.6,120,244,10112
802,0,1292.7,928.0,88,132,2736
802,1,686.6,1490.8,104,204,7328
803,0,1286.0,927.8,100,140,3936
803,1,668.5,1507.8,84,148,4768
804,0,1294.0,791.4,64,88,2768
804,1,1270.8,941.9,112,140,3840
804,2,657.1,1511.7,84,136,4384
805,0,1280.5,806.3,80,88,2976
805,1,1255.9,953.9,112,144,3920
805,2,643.9,1549.8,80,80,3024
806,0,1265.8,820.0,80,88,2928
806,1,1242.1,968.4,108,140,3760
807,0,1251.5,834.1,80,88,2912
807,1,1229.2,979.5,108,140,3680
808,0,1237.3,847.3,80,84,2912
