frame,t_s,dxA,dyA,peakA,dxB,dyB,peakB
482,8.0167,-2.00,8.61,95.5,-0.00,0.00,244.1
483,8.0333,-2.00,8.72,106.9,0.00,-0.01,227.9
484,8.0500,-2.25,9.09,92.1,-0.00,-0.00,211.7
485,8.0667,-2.07,8.61,78.1,-0.00,-0.00,210.9
486,8.0833,-3.83,10.39,109.7,0.01,0.01,205.6
487,8.1000,-2.19,8.55,75.2,-0.00,-0.01,190.9
488,8.1167,-2.67,9.03,64.2,-0.01,-0.01,184.9
489,8.1333,-3.45,9.52,69.7,0.00,0.00,177.1
490,8.1500,-3.70,9.33,70.1,0.00,-0.00,167.7
491,8.1667,-3.93,9.58,74.9,-0.00,0.00,154.4
492,8.1833,-4.17,9.51,137.4,0.01,0.01,137.0
493,8.2000,-3.26,8.89,42.9,0.01,0.01,125.8
494,8.2167,0.02,0.03,22.9,-0.02,-0.01,113.8
495,8.2333,-0.13,-0.02,36.2,0.02,0.02,89.5
496,8.2500,-4.46,7.86,60.3,-0.00,0.01,83.5
497,8.2667,-6.07,9.61,78.3,0.03,0.02,71.0
498,8.2833,-6.11,9.53,169.3,-0.01,0.01,59.0
499,8.3000,-6.01,8.23,122.8,-8.41,14.01,52.4
500,8.3167,-6.08,8.28,103.9,0.06,0.11,53.8
501,8.3333,-6.21,8.12,129.3,-10.04,12.49,75.0
502,8.3500,-6.39,8.25,114.6,-10.66,12.22,67.6
503,8.3667,-6.39,8.00,124.8,-11.99,12.07,74.9
504,8.3833,-6.71,7.96,90.1,-10.81,14.42,41.6
505,8.4000,0.00,0.07,113.6,-23.97,0.00,49.1
506,8.4167,-0.04,0.09,110.8,-10.52,14.25,59.3
507,8.4333,-0.01,0.07,108.8,-11.97,13.79,117.6
508,8.4500,0.02,0.08,117.4,-10.52,13.92,84.1
509,8.4667,0.01,0.05,132.5,-11.96,13.69,125.6
510,8.4833,-7.61,7.97,124.1,-11.96,14.00,72.0
511,8.5000,-7.70,8.01,175.1,-11.98,13.97,140.4
512,8.5167,-7.56,7.90,141.9,-12.00,13.99,132.1
513,8.5333,-7.80,7.96,156.8,-12.21,14.02,132.8
514,8.5500,-7.90,7.95,143.9,-12.30,14.03,126.7
515,8.5667,-7.93,7.96,169.9,-12.75,13.99,119.4
516,8.5833,-7.98,7.85,189.7,-12.89,13.96,106.1
517,8.6000,-8.02,7.67,154.9,-13.76,13.77,143.7
518,8.6167,-8.30,7.54,114.9,-13.73,13.70,120.1
519,8.6333,-8.50,7.56,105.6,-14.00,13.74,149.1
520,8.6500,0.00,-0.02,110.4,-14.08,13.63,154.8
521,8.6667,-0.01,-0.01,111.1,-14.12,13.50,139.7
